seq_id,schid,name,municipal,schoolyear,enrolled,PK,K,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,SP,aa_num,aa_pct,as_num,as_pct,lat_num,lat_pct,whi_num,whi_pct,na_num,na_pct,pi_num,pi_pct,mult_num,mult_pct,male_num,male_pct,fem_num,fem_pct,ell_num,ell_pct,lep_num,lep_pct,swd_num,swd_pct,li_num,li_pct,free_num,free_pct,red_num,red_pct,hn_num,hn_pct,disadv_num,disadv_pct
20414,0,Massachusetts,Massachusetts,2016-17,953748,29474,66131,68167,69822,71806,72053,70884,70494,71730,71724,76183,73221,71279,69397,1383,84884,8.9,63901,6.7,185027,19.4,584648,61.3,1907,0.2,954,0.1,32427,3.4,489273,51.3,464475,48.7,90204,9.5,191964,20.1,167530,17.4,,,,,,,436416,45.2,288465,30.2
20415,10002,Center Elementary School,Abington,2016-17,203,69,134,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.9,6,3,17,8.4,172,84.7,0,0,0,0,0,0,110,54.2,93,45.8,6,3,26,12.8,43,21.2,,,,,,,69,34,33,16.3
20416,10003,Beaver Brook Elementary School,Abington,2016-17,580,0,0,125,164,148,143,0,0,0,0,0,0,0,0,0,11,1.9,11,1.9,39,6.7,513,88.4,3,0.5,1,0.2,2,0.3,291,50.2,289,49.8,42,7.2,61,10.5,77,13.3,,,,,,,215,37.1,135,23.3
20417,10015,Woodsdale Elementary School,Abington,2016-17,353,0,0,0,0,0,0,180,173,0,0,0,0,0,0,0,7,2,5,1.4,15,4.2,325,92.1,0,0,0,0,1,0.3,179,50.7,174,49.3,7,2,21,5.9,38,10.8,,,,,,,108,30.6,80,22.7
20418,10405,Frolio Middle School,Abington,2016-17,328,0,0,0,0,0,0,0,0,159,169,0,0,0,0,0,8,2.4,6,1.8,20,6.1,293,89.3,0,0,0,0,1,0.3,175,53.4,153,46.6,6,1.8,18,5.5,43,13.1,,,,,,,101,30.8,71,21.6
20419,10505,Abington High,Abington,2016-17,452,0,0,0,0,0,0,0,0,0,0,124,109,123,92,4,10,2.2,7,1.5,41,9.1,388,85.8,1,0.2,1,0.2,4,0.9,206,45.6,246,54.4,11,2.4,24,5.3,44,9.7,,,,,,,130,28.8,97,21.5
20420,30025,Acushnet Elementary School,Acushnet,2016-17,538,50,84,99,102,107,96,0,0,0,0,0,0,0,0,0,4,0.7,1,0.2,18,3.3,499,92.8,1,0.2,0,0,15,2.8,286,53.2,252,46.8,2,0.4,3,0.6,77,14.3,,,,,,,191,35.5,136,25.3
20421,30305,Albert F Ford Middle School,Acushnet,2016-17,417,0,0,0,0,0,0,105,121,77,114,0,0,0,0,0,3,0.7,1,0.2,4,1,406,97.4,0,0,0,0,3,0.7,212,50.8,205,49.2,2,0.5,4,1,57,13.7,,,,,,,122,29.3,82,19.7
20422,50003,Agawam Early Childhood Center,Agawam,2016-17,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.6,13,8.6,19,12.6,108,71.5,0,0,0,0,4,2.6,87,57.6,64,42.4,0,0,2,1.3,62,41.1,,,,,,,78,51.7,45,29.8
20423,50010,Clifford M Granger,Agawam,2016-17,293,0,60,43,66,64,60,0,0,0,0,0,0,0,0,0,4,1.4,3,1,28,9.6,249,85,0,0,1,0.3,8,2.7,147,50.2,146,49.8,21,7.2,26,8.9,56,19.1,,,,,,,134,45.7,96,32.8
20424,50020,Benjamin J Phelps,Agawam,2016-17,385,0,91,62,72,86,74,0,0,0,0,0,0,0,0,0,8,2.1,11,2.9,19,4.9,339,88.1,0,0,0,0,8,2.1,203,52.7,182,47.3,51,13.2,60,15.6,50,13,,,,,,,161,41.8,103,26.8
20425,50025,Robinson Park,Agawam,2016-17,377,0,78,79,61,78,81,0,0,0,0,0,0,0,0,0,10,2.7,11,2.9,30,8,313,83,0,0,0,0,13,3.4,195,51.7,182,48.3,54,14.3,58,15.4,49,13,,,,,,,181,48,132,35
20426,50030,James Clark School,Agawam,2016-17,329,0,67,67,61,74,60,0,0,0,0,0,0,0,0,0,10,3,11,3.3,31,9.4,271,82.4,0,0,0,0,6,1.8,175,53.2,154,46.8,39,11.9,45,13.7,58,17.6,,,,,,,149,45.3,95,28.9
