DISTRICT_NAME,SCHOOL_NAME,COUNTY, School_Total ,PK,K,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,SPED_Beyond_Grade_12,schid,id,ORG_CODE,SCHOOL
Agawam,Robinson Park,Hampden,391,0,81,85,68,77,80,0,0,0,0,0,0,0,0,0,00050025,11,00050025,Robinson Park - Agawam (District)
Brockton,Hancock,Plymouth,516,0,75,77,85,98,88,93,0,0,0,0,0,0,0,0,00440045,259,00440045,Hancock - Brockton (District)
Marblehead,L H Coffin,Essex,226,0,0,114,112,0,0,0,0,0,0,0,0,0,0,0,01680010,756,01680010,L H Coffin - Marblehead (District)
Leominster,Leominster High School,Worcester,1112,0,0,0,0,0,0,0,0,0,0,213,299,313,287,0,01530505,651,01530505,Leominster High School - Leominster (District)
Ashland,William Pittaway Elementary,Middlesex,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00140005,45,00140005,William Pittaway Elementary - Ashland (District)
Norton,Henri A. Yelle,Bristol,356,0,0,0,0,0,170,186,0,0,0,0,0,0,0,0,02180060,961,02180060,Henri A. Yelle - Norton (District)
Salem,Bates,Essex,392,0,62,63,58,70,73,66,0,0,0,0,0,0,0,0,02580003,1090,02580003,Bates - Salem (District)
Worcester,May Street,Worcester,313,0,42,41,39,48,38,52,53,0,0,0,0,0,0,0,03480175,1480,03480175,May Street - Worcester (District)
Ashland,Henry E Warren Elementary,Middlesex,614,0,188,222,204,0,0,0,0,0,0,0,0,0,0,0,00140010,46,00140010,Henry E Warren Elementary - Ashland (District)
Ashland,David Mindess,Middlesex,659,0,0,0,0,229,203,227,0,0,0,0,0,0,0,0,00140015,47,00140015,David Mindess - Ashland (District)
Ashland,Ashland Middle,Middlesex,658,0,0,0,0,0,0,0,229,219,210,0,0,0,0,0,00140405,48,00140405,Ashland Middle - Ashland (District)
Ashland,Ashland High,Middlesex,825,0,0,0,0,0,0,0,0,0,0,180,218,212,215,0,00140505,49,00140505,Ashland High - Ashland (District)
Abington,Abington Early Education Program,Plymouth,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00010001,1,00010001,Abington Early Education Program - Abington (District)
Hampden-Wilbraham,Soule Road,Hampden,320,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,06800030,1677,06800030,Soule Road - Hampden-Wilbraham (District)
Agawam,Agawam Early Childhood Center,Hampden,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00050003,8,00050003,Agawam Early Childhood Center - Agawam (District)
Agawam,Clifford M Granger,Hampden,256,0,58,41,38,70,49,0,0,0,0,0,0,0,0,0,00050010,9,00050010,Clifford M Granger - Agawam (District)
Agawam,Benjamin J Phelps,Hampden,342,0,67,63,69,83,60,0,0,0,0,0,0,0,0,0,00050020,10,00050020,Benjamin J Phelps - Agawam (District)
Agawam,James Clark School,Hampden,301,0,57,61,59,58,66,0,0,0,0,0,0,0,0,0,00050030,12,00050030,James Clark School - Agawam (District)
Agawam,Roberta G. Doering School,Hampden,589,0,0,0,0,0,0,274,312,0,3,0,0,0,0,0,00050303,13,00050303,Roberta G. Doering School - Agawam (District)
Agawam,Agawam Junior High,Hampden,557,0,0,0,0,0,0,0,0,270,287,0,0,0,0,0,00050405,14,00050405,Agawam Junior High - Agawam (District)
Agawam,Agawam High,Hampden,1074,0,0,0,0,0,0,0,0,0,0,297,234,278,265,0,00050505,15,00050505,Agawam High - Agawam (District)
Amesbury,Amesbury Elementary,Essex,346,33,63,51,71,62,66,0,0,0,0,0,0,0,0,0,00070005,16,00070005,Amesbury Elementary - Amesbury (District)
Amesbury,Charles C Cashman Elementary,Essex,416,26,71,64,76,82,97,0,0,0,0,0,0,0,0,0,00070010,17,00070010,Charles C Cashman Elementary - Amesbury (District)
Amesbury,Amesbury Middle,Essex,668,0,0,0,0,0,0,181,162,156,169,0,0,0,0,0,00070013,18,00070013,Amesbury Middle - Amesbury (District)
Amesbury,Amesbury High,Essex,529,0,0,0,0,0,0,0,0,0,0,118,124,139,142,6,00070505,19,00070505,Amesbury High - Amesbury (District)
Amesbury,Amesbury Innovation High School,Essex,53,0,0,0,0,0,0,0,0,0,0,8,13,13,19,0,00070515,20,00070515,Amesbury Innovation High School - Amesbury (District)
Amherst,Crocker Farm Elementary,Hampshire,400,53,32,55,44,45,56,54,61,0,0,0,0,0,0,0,00080009,21,00080009,Crocker Farm Elementary - Amherst (District)
Amherst,Fort River Elementary,Hampshire,311,0,49,41,31,55,43,42,50,0,0,0,0,0,0,0,00080020,22,00080020,Fort River Elementary - Amherst (District)
Amherst,Wildwood Elementary,Hampshire,382,0,47,52,64,50,62,50,57,0,0,0,0,0,0,0,00080050,23,00080050,Wildwood Elementary - Amherst (District)
Andover,Bancroft Elementary,Essex,566,0,81,93,97,90,102,103,0,0,0,0,0,0,0,0,00090003,24,00090003,Bancroft Elementary - Andover (District)
Andover,High Plain Elementary,Essex,527,0,69,106,84,85,87,96,0,0,0,0,0,0,0,0,00090004,25,00090004,High Plain Elementary - Andover (District)
Andover,Shawsheen School,Essex,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00090005,26,00090005,Shawsheen School - Andover (District)
Andover,Henry C Sanborn Elementary,Essex,358,0,41,54,54,61,74,74,0,0,0,0,0,0,0,0,00090010,27,00090010,Henry C Sanborn Elementary - Andover (District)
Andover,South Elementary,Essex,479,0,66,88,78,81,93,73,0,0,0,0,0,0,0,0,00090020,28,00090020,South Elementary - Andover (District)
Andover,West Elementary,Essex,594,0,83,102,86,105,102,116,0,0,0,0,0,0,0,0,00090025,29,00090025,West Elementary - Andover (District)
Andover,Doherty Middle,Essex,518,0,0,0,0,0,0,0,158,179,181,0,0,0,0,0,00090305,30,00090305,Doherty Middle - Andover (District)
Andover,Andover West Middle,Essex,532,0,0,0,0,0,0,0,184,176,172,0,0,0,0,0,00090310,31,00090310,Andover West Middle - Andover (District)
Andover,Wood Hill Middle School,Essex,406,0,0,0,0,0,0,0,125,133,148,0,0,0,0,0,00090350,32,00090350,Wood Hill Middle School - Andover (District)
Andover,Andover High,Essex,1795,0,0,0,0,0,0,0,0,0,0,455,427,455,424,34,00090505,33,00090505,Andover High - Andover (District)
Arlington,John A Bishop,Middlesex,440,0,71,93,67,70,70,69,0,0,0,0,0,0,0,0,00100005,34,00100005,John A Bishop - Arlington (District)
