schid,SCHOOL,municipal,enrolled,PK,K,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,SP,ORG_CODE,schoolyear,name
00010020,Abington - Beaver Brook Elementary,Abington,531,0,174,186,171,0,0,0,0,0,0,0,0,0,0,0,00010020,2021-22,Beaver Brook Elementary
00010405,Abington - Abington Middle School,Abington,647,0,0,0,0,0,0,169,142,171,165,0,0,0,0,0,00010405,2021-22,Abington Middle School
00010505,Abington - Abington High,Abington,586,0,0,0,0,0,0,0,0,0,0,133,148,145,154,6,00010505,2021-22,Abington High
00030025,Acushnet - Acushnet Elementary School,Acushnet,537,53,76,101,87,119,101,0,0,0,0,0,0,0,0,0,00030025,2021-22,Acushnet Elementary School
00030305,Acushnet - Albert F Ford Middle School,Acushnet,398,0,0,0,0,0,0,81,114,104,99,0,0,0,0,0,00030305,2021-22,Albert F Ford Middle School
00050003,Agawam - Agawam Early Childhood Center,Agawam,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00050003,2021-22,Agawam Early Childhood Center
00050010,Agawam - Clifford M Granger,Agawam,313,0,68,55,83,61,46,0,0,0,0,0,0,0,0,0,00050010,2021-22,Clifford M Granger
00050020,Agawam - Benjamin J Phelps,Agawam,297,0,50,59,63,59,66,0,0,0,0,0,0,0,0,0,00050020,2021-22,Benjamin J Phelps
00050025,Agawam - Robinson Park,Agawam,284,0,44,64,58,65,53,0,0,0,0,0,0,0,0,0,00050025,2021-22,Robinson Park
00050030,Agawam - James Clark School,Agawam,296,0,67,53,50,66,60,0,0,0,0,0,0,0,0,0,00050030,2021-22,James Clark School
00050303,Agawam - Roberta G. Doering School,Agawam,521,0,0,0,0,0,0,275,245,0,1,0,0,0,0,0,00050303,2021-22,Roberta G. Doering School
00050405,Agawam - Agawam Junior High,Agawam,579,0,0,0,0,0,0,0,0,266,313,0,0,0,0,0,00050405,2021-22,Agawam Junior High
00050505,Agawam - Agawam High,Agawam,1017,0,0,0,0,0,0,0,0,0,0,277,252,263,220,5,00050505,2021-22,Agawam High
00070005,Amesbury - Amesbury Elementary,Amesbury,317,24,63,58,64,53,55,0,0,0,0,0,0,0,0,0,00070005,2021-22,Amesbury Elementary
00070010,Amesbury - Charles C Cashman Elementary,Amesbury,355,13,73,80,59,56,74,0,0,0,0,0,0,0,0,0,00070010,2021-22,Charles C Cashman Elementary
00070013,Amesbury - Amesbury Middle,Amesbury,615,0,0,0,0,0,0,135,155,169,156,0,0,0,0,0,00070013,2021-22,Amesbury Middle
00070505,Amesbury - Amesbury High,Amesbury,463,0,0,0,0,0,0,0,0,0,0,101,122,116,117,7,00070505,2021-22,Amesbury High
00070515,Amesbury - Amesbury Innovation High School,Amesbury,47,0,0,0,0,0,0,0,0,0,0,12,10,9,16,0,00070515,2021-22,Amesbury Innovation High School
00080009,Amherst - Crocker Farm Elementary,Amherst,358,55,32,48,32,56,40,47,48,0,0,0,0,0,0,0,00080009,2021-22,Crocker Farm Elementary
00080020,Amherst - Fort River Elementary,Amherst,351,0,55,52,61,41,38,60,44,0,0,0,0,0,0,0,00080020,2021-22,Fort River Elementary
00080050,Amherst - Wildwood Elementary,Amherst,344,0,40,42,47,48,60,47,60,0,0,0,0,0,0,0,00080050,2021-22,Wildwood Elementary
00090003,Andover - Bancroft Elementary,Andover,514,0,64,75,82,98,102,93,0,0,0,0,0,0,0,0,00090003,2021-22,Bancroft Elementary
00090004,Andover - High Plain Elementary,Andover,531,0,90,80,82,109,84,86,0,0,0,0,0,0,0,0,00090004,2021-22,High Plain Elementary
00090005,Andover - Shawsheen School,Andover,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00090005,2021-22,Shawsheen School
00090010,Andover - Henry C Sanborn Elementary,Andover,328,0,54,51,42,66,53,62,0,0,0,0,0,0,0,0,00090010,2021-22,Henry C Sanborn Elementary
00090020,Andover - South Elementary,Andover,435,0,63,69,67,87,74,75,0,0,0,0,0,0,0,0,00090020,2021-22,South Elementary
00090025,Andover - West Elementary,Andover,541,0,87,94,84,100,81,95,0,0,0,0,0,0,0,0,00090025,2021-22,West Elementary
00090305,Andover - Doherty Middle,Andover,455,0,0,0,0,0,0,0,158,149,148,0,0,0,0,0,00090305,2021-22,Doherty Middle
00090310,Andover - Andover West Middle,Andover,530,0,0,0,0,0,0,0,165,181,184,0,0,0,0,0,00090310,2021-22,Andover West Middle
00090350,Andover - Wood Hill Middle School,Andover,366,0,0,0,0,0,0,0,120,121,125,0,0,0,0,0,00090350,2021-22,Wood Hill Middle School
00090505,Andover - Andover High,Andover,1679,0,0,0,0,0,0,0,0,0,0,420,416,415,393,35,00090505,2021-22,Andover High
00100005,Arlington - John A Bishop,Arlington,390,0,62,63,62,77,59,67,0,0,0,0,0,0,0,0,00100005,2021-22,John A Bishop
00100010,Arlington - Brackett,Arlington,442,0,59,68,71,97,63,84,0,0,0,0,0,0,0,0,00100010,2021-22,Brackett
00100025,Arlington - Cyrus E Dallin,Arlington,426,0,61,60,64,87,72,82,0,0,0,0,0,0,0,0,00100025,2021-22,Cyrus E Dallin
00100030,Arlington - Hardy,Arlington,410,0,79,63,57,71,64,76,0,0,0,0,0,0,0,0,00100030,2021-22,Hardy
00100038,Arlington - Menotomy Preschool,Arlington,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00100038,2021-22,Menotomy Preschool
00100045,Arlington - Peirce,Arlington,326,0,50,64,53,57,64,38,0,0,0,0,0,0,0,0,00100045,2021-22,Peirce
00100050,Arlington - Thompson,Arlington,505,0,92,88,79,78,73,95,0,0,0,0,0,0,0,0,00100050,2021-22,Thompson
00100055,Arlington - M Norcross Stratton,Arlington,453,0,83,68,85,76,74,67,0,0,0,0,0,0,0,0,00100055,2021-22,M Norcross Stratton
00100305,Arlington - Gibbs School,Arlington,452,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,00100305,2021-22,Gibbs School
00100410,Arlington - Ottoson Middle,Arlington,906,0,0,0,0,0,0,0,0,473,433,0,0,0,0,0,00100410,2021-22,Ottoson Middle
00100505,Arlington - Arlington High,Arlington,1483,0,0,0,0,0,0,0,0,0,0,364,372,362,385,0,00100505,2021-22,Arlington High
00140005,Ashland - William Pittaway Elementary,Ashland,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00140005,2021-22,William Pittaway Elementary
00140010,Ashland - Henry E Warren Elementary,Ashland,649,0,225,229,195,0,0,0,0,0,0,0,0,0,0,0,00140010,2021-22,Henry E Warren Elementary
00140015,Ashland - David Mindess,Ashland,636,0,0,0,0,212,206,218,0,0,0,0,0,0,0,0,00140015,2021-22,David Mindess
00140405,Ashland - Ashland Middle,Ashland,696,0,0,0,0,0,0,0,228,237,231,0,0,0,0,0,00140405,2021-22,Ashland Middle
00140505,Ashland - Ashland High,Ashland,812,0,0,0,0,0,0,0,0,0,0,209,204,175,224,0,00140505,2021-22,Ashland High
00160001,Attleboro - A. Irvin Studley Elementary School,Attleboro,339,0,77,50,60,75,77,0,0,0,0,0,0,0,0,0,00160001,2021-22,A. Irvin Studley Elementary School
00160008,Attleboro - Early Learning Center,Attleboro,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00160008,2021-22,Early Learning Center
00160035,Attleboro - Thomas Willett Elementary School,Attleboro,364,0,75,69,69,82,69,0,0,0,0,0,0,0,0,0,00160035,2021-22,Thomas Willett Elementary School
00160040,Attleboro - Hyman Fine Elementary School,Attleboro,461,0,93,83,97,88,100,0,0,0,0,0,0,0,0,0,00160040,2021-22,Hyman Fine Elementary School
00160045,Attleboro - Hill-Roberts Elementary School,Attleboro,402,0,76,63,95,85,83,0,0,0,0,0,0,0,0,0,00160045,2021-22,Hill-Roberts Elementary School
00160050,Attleboro - Peter Thacher Elementary School,Attleboro,463,0,100,98,95,84,86,0,0,0,0,0,0,0,0,0,00160050,2021-22,Peter Thacher Elementary School
00160305,Attleboro - Robert J. Coelho Middle School,Attleboro,602,0,0,0,0,0,0,149,145,138,170,0,0,0,0,0,00160305,2021-22,Robert J. Coelho Middle School
00160315,Attleboro - Cyril K. Brennan Middle School,Attleboro,605,0,0,0,0,0,0,141,162,164,138,0,0,0,0,0,00160315,2021-22,Cyril K. Brennan Middle School
00160320,Attleboro - Wamsutta Middle School,Attleboro,581,0,0,0,0,0,0,133,150,137,161,0,0,0,0,0,00160320,2021-22,Wamsutta Middle School
00160505,Attleboro - Attleboro High,Attleboro,1769,0,0,0,0,0,0,0,0,0,0,486,438,408,421,16,00160505,2021-22,Attleboro High
00160515,Attleboro - Attleboro Community Academy,Attleboro,50,0,0,0,0,0,0,0,0,0,0,3,1,12,34,0,00160515,2021-22,Attleboro Community Academy
00160705,Attleboro - Attleboro Virtual Academy,Attleboro,50,0,0,0,0,0,0,0,0,0,0,7,7,22,14,0,00160705,2021-22,Attleboro Virtual Academy
00170010,Auburn - Bryn Mawr,Auburn,261,0,77,90,94,0,0,0,0,0,0,0,0,0,0,0,00170010,2021-22,Bryn Mawr
00170025,Auburn - Pakachoag School,Auburn,256,0,77,87,92,0,0,0,0,0,0,0,0,0,0,0,00170025,2021-22,Pakachoag School
00170030,Auburn - Swanson Road Intermediate School,Auburn,569,0,0,0,0,189,163,217,0,0,0,0,0,0,0,0,00170030,2021-22,Swanson Road Intermediate School
00170305,Auburn - Auburn Middle,Auburn,647,0,0,0,0,0,0,0,199,220,228,0,0,0,0,0,00170305,2021-22,Auburn Middle
00170505,Auburn - Auburn Senior High,Auburn,840,109,0,0,0,0,0,0,0,0,0,163,179,199,180,10,00170505,2021-22,Auburn Senior High
00180010,Avon - Ralph D Butler,Avon,399,24,48,45,45,52,60,63,62,0,0,0,0,0,0,0,00180010,2021-22,Ralph D Butler
00180510,Avon - Avon Middle High School,Avon,316,0,0,0,0,0,0,0,0,51,57,64,49,45,47,3,00180510,2021-22,Avon Middle High School
00200001,Barnstable - Enoch Cobb Early Learning Center,Barnstable,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00200001,2021-22,Enoch Cobb Early Learning Center
00200005,Barnstable - West Barnstable Elementary,Barnstable,241,0,63,62,59,57,0,0,0,0,0,0,0,0,0,0,00200005,2021-22,West Barnstable Elementary
00200010,Barnstable - Centerville Elementary,Barnstable,247,0,61,62,64,60,0,0,0,0,0,0,0,0,0,0,00200010,2021-22,Centerville Elementary
00200012,Barnstable - Barnstable Community Innovation School,Barnstable,292,0,67,72,74,79,0,0,0,0,0,0,0,0,0,0,00200012,2021-22,Barnstable Community Innovation School
00200025,Barnstable - Hyannis West Elementary,Barnstable,290,0,70,76,64,80,0,0,0,0,0,0,0,0,0,0,00200025,2021-22,Hyannis West Elementary
00200045,Barnstable - West Villages Elementary School,Barnstable,376,0,99,98,91,88,0,0,0,0,0,0,0,0,0,0,00200045,2021-22,West Villages Elementary School
00200050,Barnstable - Barnstable United Elementary School,Barnstable,712,0,0,0,0,0,368,344,0,0,0,0,0,0,0,0,00200050,2021-22,Barnstable United Elementary School
00200315,Barnstable - Barnstable Intermediate School,Barnstable,682,0,0,0,0,0,0,0,326,356,0,0,0,0,0,0,00200315,2021-22,Barnstable Intermediate School
