schid,name,municipal,enrolled,PK,K,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,SP,ORG_CODE,schoolyear,SCHOOL
0,State Totals - State Totals,State Totals,913735,30924,61611,65628,63966,65083,66360,66453,67299,67468,69397,75502,73829,69463,69134,1618,0,2022-23,State Totals
10001,Abington - Abington Early Education Program,Abington,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001,2022-23,Abington Early Education Program
10015,Abington - Woodsdale Elementary School,Abington,335,0,0,0,0,166,169,0,0,0,0,0,0,0,0,0,10015,2022-23,Woodsdale Elementary School
10020,Abington - Beaver Brook Elementary,Abington,521,0,160,173,188,0,0,0,0,0,0,0,0,0,0,0,10020,2022-23,Beaver Brook Elementary
10405,Abington - Abington Middle School,Abington,647,0,0,0,0,0,0,157,165,147,178,0,0,0,0,0,10405,2022-23,Abington Middle School
10505,Abington - Abington High,Abington,548,0,0,0,0,0,0,0,0,0,0,137,127,146,131,7,10505,2022-23,Abington High
30025,Acushnet - Acushnet Elementary School,Acushnet,556,55,95,86,106,89,125,0,0,0,0,0,0,0,0,0,30025,2022-23,Acushnet Elementary School
30305,Acushnet - Albert F Ford Middle School,Acushnet,407,0,0,0,0,0,0,104,86,107,110,0,0,0,0,0,30305,2022-23,Albert F Ford Middle School
50003,Agawam - Agawam Early Childhood Center,Agawam,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,2022-23,Agawam Early Childhood Center
50010,Agawam - Clifford M Granger,Agawam,335,0,57,77,61,76,64,0,0,0,0,0,0,0,0,0,50010,2022-23,Clifford M Granger
50020,Agawam - Benjamin J Phelps,Agawam,308,0,66,52,62,68,60,0,0,0,0,0,0,0,0,0,50020,2022-23,Benjamin J Phelps
50025,Agawam - Robinson Park,Agawam,277,0,46,47,60,60,64,0,0,0,0,0,0,0,0,0,50025,2022-23,Robinson Park
