id,grade,to_school,dropoff,from_school,pickup,school_id,street,cross_st,nr_vehicles,nr_licenses,distance,created,modified,st_astext,schid,shed,current_time
31366,5,w,"",cp,yes,1776,Brown St,"",2,2,0.487776235,2017-03-08 00:00:00-05,2017-03-10 14:47:46.173617-05,POINT(-73.2382488439851 42.4600313968964),02360055,1,2018-02-05 13:15:07.273671-05
31367,5,fv,yes,fv,yes,1776,Adam St,1St St,1,1,0.549913335,2017-03-08 00:00:00-05,2017-03-10 14:48:12.998214-05,POINT(-73.24975884151 42.4531613986249),02360055,1,2018-02-05 13:15:07.273671-05
31368,5,fv,no,fv,no,1776,Lenox Ave,Weller Ave,3,2,0.678537132,2017-03-08 00:00:00-05,2017-03-10 14:48:40.913861-05,POINT(-73.2492688408143 42.4631113956416),02360055,2,2018-02-05 13:15:07.273671-05
31369,5,fv,yes,w,"",1776,Plymouth St,Franklin St,1,1,2.890617892,2017-03-08 00:00:00-05,2017-03-10 14:49:27.997082-05,POINT(-73.2837088320416 42.4423114014907),02360055,0,2018-02-05 13:15:07.273671-05
31370,5,fv,yes,fv,yes,1776,3Rd St,Lake St,1,2,0.518844785,2017-03-08 00:00:00-05,2017-03-10 14:52:28.426429-05,POINT(-73.2457488437311 42.4518813988237),02360055,1,2018-02-05 13:15:07.273671-05
31371,4,fv,yes,fv,yes,1776,Orchard St,1St St,1,2,0.269053643,2017-03-08 00:00:00-05,2017-03-10 14:52:44.490995-05,POINT(-73.2486088413784 42.4571413979618),02360055,1,2018-02-05 13:15:07.273671-05
31372,4,sb,"",sb,"",1776,Lenox Ave,Weller Ave,1,1,0.678537132,2017-03-08 00:00:00-05,2017-03-10 14:53:03.52748-05,POINT(-73.2492688408143 42.4631113956416),02360055,2,2018-02-05 13:15:07.273671-05
31373,k,fv,yes,fv,yes,1776,Kent Ave,North St,1,1,0.38525002,2017-03-08 00:00:00-05,2017-03-10 14:53:22.25212-05,POINT(-73.2501088403275 42.4577113975404),02360055,1,2018-02-05 13:15:07.273671-05
31374,p,w,"",w,"",1776,Stoddard Ave,Pleasure Ave,1,1,0.185168558,2017-03-08 00:00:00-05,2017-03-10 14:53:46.644346-05,POINT(-73.2451388425237 42.4592713974911),02360055,1,2018-02-05 13:15:07.273671-05
31375,4,sb,"",sb,"",1776,North St,"",1,1,0.32311292,2017-03-08 00:00:00-05,2017-03-10 14:54:58.186038-05,POINT(-73.2492828369141 42.4583572934944),02360055,1,2018-02-05 13:15:07.273671-05
