id,school_id,begin,end,created,modified
449,833,2015-04-07 00:00:00-04,2015-04-23 00:00:00-04,2015-04-07 12:27:08.703575-04,2015-04-07 12:27:15.013343-04
27,1255,2014-03-26 11:26:56-04,2014-04-13 11:26:56-04,2014-08-01 13:17:12.78156-04,2014-08-05 12:55:26.129568-04
607,1445,2017-02-27 00:00:00-05,2017-03-10 00:00:00-05,2017-02-27 08:46:44.35363-05,2017-02-27 08:46:44.353644-05
256,872,2014-08-12 00:00:00-04,2014-08-26 00:00:00-04,2014-08-11 09:15:38.848427-04,2014-08-11 09:15:38.848442-04
450,1858,2011-05-05 00:00:00-04,2011-05-27 00:00:00-04,2015-04-08 23:50:44.49912-04,2015-04-08 23:50:44.499135-04
408,1483,2015-03-15 00:00:00-04,2015-03-29 00:00:00-04,2015-03-09 11:38:53.19829-04,2015-03-09 11:38:53.198307-04
235,1887,2014-08-07 00:00:00-04,2014-08-14 00:00:00-04,2014-08-07 17:36:13.421909-04,2014-08-07 17:36:13.421925-04
313,1504,2014-09-03 00:00:00-04,2014-09-29 00:00:00-04,2014-09-03 13:21:56.138066-04,2014-09-03 13:21:56.13808-04
315,1503,2014-09-03 00:00:00-04,2014-09-29 00:00:00-04,2014-09-03 13:22:28.319732-04,2014-09-03 13:22:28.319747-04
317,1515,2014-09-03 00:00:00-04,2014-09-29 00:00:00-04,2014-09-03 13:22:44.392838-04,2014-09-03 13:22:44.392854-04
319,1517,2014-09-03 00:00:00-04,2014-09-29 00:00:00-04,2014-09-03 13:22:59.881938-04,2014-09-03 13:22:59.881954-04
321,1505,2014-09-03 00:00:00-04,2014-09-29 00:00:00-04,2014-09-03 13:23:11.724631-04,2014-09-03 13:23:11.724648-04
38,1807,2014-03-10 20:32:20-04,2014-04-02 09:41:50-04,2014-08-01 13:17:13.058643-04,2014-08-08 12:27:52.423126-04
51,1365,2013-12-02 10:44:33-05,2013-12-22 10:16:17-05,2014-08-01 13:17:13.323678-04,2014-08-08 12:33:00.312897-04
62,1796,2014-03-17 16:47:00-04,2014-03-28 10:05:01-04,2014-08-01 13:17:13.495545-04,2014-08-08 12:34:02.256883-04
83,777,2013-10-31 14:39:51-04,2013-11-15 05:12:06-05,2014-08-01 13:17:13.82233-04,2014-08-08 12:36:12.841842-04
86,1290,2013-11-26 08:37:18-05,2013-12-20 21:38:25-05,2014-08-01 13:17:13.864294-04,2014-08-08 12:36:52.042119-04
100,1968,2013-10-09 18:25:28-04,2013-11-12 05:51:18-05,2014-08-01 13:17:14.291748-04,2014-08-08 12:37:46.086031-04
102,1795,2014-03-17 16:18:57-04,2014-04-05 11:50:15-04,2014-08-01 13:17:14.315156-04,2014-08-08 12:38:05.132648-04
108,1377,2014-01-17 17:32:30-05,2014-02-26 17:32:30-05,2014-08-01 13:17:14.341758-04,2014-08-08 12:38:56.774109-04
109,778,2013-10-31 14:43:11-04,2013-11-16 19:03:12-05,2014-08-01 13:17:14.401593-04,2014-08-08 12:39:31.442236-04
