Data Field,Metadata,,,,,
survey_response_id,ID of Survey Response in the Database,,,,,
survey_id,ID of the Survey associated with the survey response in the database.,,,,,
distance,Distance from street intersection near the home and the destination school as calculated by the Google Maps API,,,,,
st_astext,Point location of the intersection near the survey respondent's home. Provided on a 4326 projected plane.,,,,,
created,When the survey response was created.,,,,,
modified,When the survey response was last modified.,,,,,
shed,Integer value that enumerates the type of walk shed the point is in.,,,,,
dropoff,Do you usually drop off your child on your way to work or another destination?,,,,,
from_school,How does your child get home FROM school on most days?,,,,,
grade,What grade is your child in?,,,,,
pickup,Do you usually pick up your child on your way from work or another origin?,,,,,
to_school,How does your child get TO school on most days?,,,,,
school_id,ID of the school associated with the survey in the database.,,,,,
nr_licenses,How many people in your household have a driver license?,,,,,
nr_vehicles,How many vehicles do you have in your household?,,,,,
schid,DOE Org Code for the Respondent's School,,,,,
